epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
128,0.9357,0.9428,0.9763,0.7006,0.7406,0.8194,0.6543,0.7414,0.8439,0.8082,0.8064,0.9071
129,0.9412,0.9443,0.9772,0.6866,0.7429,0.8223,0.6623,0.7398,0.8422,0.8093,0.8076,0.9079
130,0.9409,0.9438,0.9773,0.6897,0.7380,0.8165,0.6518,0.7361,0.8423,0.8092,0.8031,0.9062
131,0.9421,0.9444,0.9783,0.6932,0.7438,0.8200,0.6530,0.7293,0.8409,0.8071,0.7985,0.9043
132,0.9281,0.9439,0.9764,0.6925,0.7388,0.8187,0.6624,0.7354,0.8420,0.8062,0.8035,0.9070
133,0.9422,0.9444,0.9775,0.6944,0.7412,0.8214,0.6587,0.7369,0.8442,0.8084,0.8016,0.9020
134,0.9421,0.9444,0.9772,0.6879,0.7355,0.8177,0.6589,0.7381,0.8461,0.8118,0.8072,0.9087
135,0.9361,0.9450,0.9778,0.6952,0.7400,0.8217,0.6543,0.7408,0.8379,0.8132,0.8107,0.9054
136,0.9436,0.9444,0.9782,0.6912,0.7399,0.8198,0.6460,0.7377,0.8438,0.8087,0.8032,0.9058
137,0.9373,0.9449,0.9787,0.6967,0.7428,0.8230,0.6564,0.7437,0.8517,0.8092,0.8100,0.9092
138,0.9387,0.9455,0.9789,0.6972,0.7421,0.8234,0.6608,0.7358,0.8424,0.8102,0.8028,0.9071
139,0.9331,0.9463,0.9781,0.6983,0.7403,0.8231,0.6538,0.7412,0.8442,0.8075,0.8067,0.9059
140,0.9412,0.9458,0.9781,0.6928,0.7378,0.8181,0.6466,0.7374,0.8443,0.8083,0.8035,0.9048
141,0.9403,0.9460,0.9778,0.6872,0.7415,0.8181,0.6533,0.7416,0.8452,0.8101,0.8077,0.9060
142,0.9406,0.9459,0.9786,0.6867,0.7424,0.8203,0.6534,0.7427,0.8464,0.8076,0.8106,0.9099
143,0.9344,0.9457,0.9782,0.6906,0.7397,0.8188,0.6541,0.7516,0.8517,0.8060,0.8165,0.9116
144,0.9357,0.9458,0.9790,0.7003,0.7426,0.8238,0.6641,0.7383,0.8463,0.8106,0.7997,0.9071
145,0.9440,0.9447,0.9779,0.6930,0.7355,0.8119,0.6590,0.7490,0.8517,0.8122,0.8110,0.9087
146,0.9442,0.9469,0.9786,0.6902,0.7357,0.8150,0.6621,0.7430,0.8474,0.8139,0.8054,0.9076
147,0.9353,0.9468,0.9795,0.6975,0.7420,0.8218,0.6649,0.7362,0.8423,0.8112,0.8009,0.9026
148,0.9389,0.9465,0.9784,0.6968,0.7443,0.8198,0.6617,0.7398,0.8445,0.8130,0.8035,0.9029
149,0.9379,0.9471,0.9793,0.6968,0.7408,0.8221,0.6530,0.7287,0.8409,0.8145,0.8010,0.9020
150,0.9321,0.9469,0.9793,0.6925,0.7408,0.8223,0.6494,0.7398,0.8534,0.8152,0.8102,0.9119
151,0.9436,0.9464,0.9789,0.6911,0.7403,0.8194,0.6545,0.7332,0.8434,0.8107,0.7996,0.9032
152,0.9357,0.9464,0.9769,0.6972,0.7402,0.8198,0.6605,0.7497,0.8492,0.8089,0.8151,0.9079
153,0.9383,0.9477,0.9788,0.6919,0.7413,0.8180,0.6597,0.7387,0.8460,0.8124,0.8056,0.9094
154,0.9356,0.9477,0.9789,0.6964,0.7459,0.8257,0.6538,0.7388,0.8450,0.8103,0.8046,0.9058
155,0.9361,0.9471,0.9792,0.6919,0.7418,0.8206,0.6592,0.7450,0.8489,0.8118,0.8121,0.9102
156,0.9399,0.9467,0.9796,0.6941,0.7414,0.8226,0.6506,0.7477,0.8536,0.8120,0.8150,0.9110
157,0.9393,0.9478,0.9789,0.6944,0.7394,0.8197,0.6642,0.7397,0.8442,0.8114,0.8089,0.9065
158,0.9402,0.9481,0.9797,0.6887,0.7423,0.8234,0.6482,0.7369,0.8457,0.8145,0.8097,0.9054
159,0.9398,0.9477,0.9790,0.7006,0.7445,0.8237,0.6522,0.7385,0.8515,0.8080,0.8126,0.9118
160,0.9348,0.9475,0.9785,0.6900,0.7404,0.8223,0.6528,0.7297,0.8398,0.8094,0.7944,0.9064
161,0.9379,0.9445,0.9786,0.6950,0.7391,0.8204,0.6555,0.7351,0.8427,0.8106,0.7958,0.9028
162,0.9486,0.9484,0.9789,0.6926,0.7402,0.8195,0.6595,0.7437,0.8455,0.8125,0.8094,0.9095
163,0.9483,0.9481,0.9790,0.6975,0.7397,0.8200,0.6620,0.7321,0.8457,0.8115,0.8025,0.9066
164,0.9459,0.9475,0.9786,0.6912,0.7420,0.8251,0.6594,0.7378,0.8488,0.8094,0.8088,0.9084
165,0.9403,0.9486,0.9796,0.6863,0.7430,0.8229,0.6562,0.7397,0.8452,0.8113,0.8050,0.9054
