epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
155,0.9132,0.9020,0.9351,0.9127,0.8984,0.9295,0.7833,0.8368,0.8922,0.8805,0.8714,0.9308
156,0.9120,0.9001,0.9354,0.9155,0.9030,0.9372,0.7969,0.8299,0.8953,0.8813,0.8706,0.9326
157,0.9158,0.9033,0.9398,0.9121,0.9032,0.9368,0.7923,0.8285,0.8917,0.8788,0.8699,0.9311
158,0.9173,0.9004,0.9333,0.9141,0.9019,0.9341,0.7911,0.8318,0.8980,0.8799,0.8712,0.9317
159,0.8965,0.8946,0.9244,0.9115,0.8994,0.9320,0.7957,0.8319,0.8923,0.8800,0.8707,0.9318
160,0.9035,0.8998,0.9297,0.9139,0.8993,0.9365,0.7931,0.8341,0.8935,0.8823,0.8728,0.9301
161,0.9130,0.9007,0.9287,0.9103,0.9020,0.9329,0.7992,0.8362,0.8902,0.8800,0.8723,0.9290
162,0.9156,0.9032,0.9331,0.9172,0.9027,0.9356,0.7963,0.8378,0.8971,0.8819,0.8713,0.9317
163,0.9083,0.9001,0.9353,0.9105,0.9019,0.9328,0.7914,0.8345,0.8884,0.8749,0.8696,0.9304
164,0.9136,0.9008,0.9339,0.9076,0.9003,0.9317,0.7915,0.8343,0.8973,0.8794,0.8729,0.9322
165,0.9148,0.9038,0.9329,0.9177,0.9047,0.9343,0.7859,0.8360,0.8912,0.8791,0.8715,0.9290
166,0.9150,0.9032,0.9342,0.9132,0.9032,0.9347,0.8004,0.8335,0.8919,0.8828,0.8700,0.9309
167,0.9136,0.9030,0.9336,0.9146,0.9039,0.9341,0.7857,0.8291,0.8975,0.8833,0.8662,0.9324
168,0.9192,0.9023,0.9356,0.9188,0.9033,0.9391,0.7844,0.8326,0.8953,0.8841,0.8716,0.9311
169,0.9126,0.9018,0.9344,0.9167,0.9041,0.9363,0.7940,0.8383,0.8961,0.8793,0.8733,0.9306
170,0.9184,0.9050,0.9377,0.9146,0.9045,0.9335,0.7938,0.8334,0.8960,0.8787,0.8724,0.9305
171,0.9146,0.9021,0.9342,0.9134,0.9041,0.9325,0.7724,0.8356,0.8972,0.8784,0.8714,0.9321
172,0.9213,0.9041,0.9333,0.9165,0.9036,0.9349,0.7780,0.8364,0.8979,0.8772,0.8691,0.9335
173,0.9180,0.9057,0.9372,0.9217,0.9035,0.9326,0.7895,0.8365,0.8968,0.8758,0.8729,0.9320
174,0.9166,0.9051,0.9356,0.9205,0.9056,0.9386,0.7801,0.8352,0.8986,0.8811,0.8711,0.9334
175,0.9186,0.9055,0.9349,0.9203,0.9062,0.9344,0.7870,0.8326,0.8939,0.8765,0.8724,0.9288
176,0.9196,0.9054,0.9389,0.9151,0.9047,0.9325,0.7907,0.8280,0.8978,0.8795,0.8697,0.9327
177,0.9107,0.9030,0.9333,0.9182,0.9028,0.9350,0.7954,0.8375,0.8938,0.8788,0.8732,0.9323
178,0.9091,0.9033,0.9330,0.9144,0.8998,0.9382,0.7939,0.8325,0.8934,0.8745,0.8723,0.9306
179,0.9147,0.9072,0.9358,0.9122,0.9048,0.9354,0.7834,0.8304,0.8946,0.8706,0.8677,0.9320
180,0.9171,0.9057,0.9362,0.9124,0.9083,0.9350,0.7833,0.8345,0.8961,0.8766,0.8714,0.9331
181,0.9191,0.9086,0.9390,0.9198,0.9084,0.9416,0.7872,0.8330,0.8982,0.8765,0.8727,0.9326
182,0.9192,0.9079,0.9362,0.9227,0.9089,0.9366,0.7880,0.8324,0.8977,0.8776,0.8723,0.9326
183,0.9309,0.9098,0.9360,0.9181,0.9087,0.9423,0.7892,0.8361,0.8978,0.8785,0.8721,0.9329
184,0.9217,0.9085,0.9352,0.9219,0.9104,0.9411,0.7949,0.8320,0.8983,0.8782,0.8718,0.9327
185,0.9279,0.9088,0.9430,0.9209,0.9098,0.9372,0.7912,0.8325,0.8984,0.8789,0.8720,0.9330
186,0.9211,0.9102,0.9401,0.9254,0.9107,0.9399,0.7969,0.8365,0.8973,0.8783,0.8722,0.9326
187,0.9226,0.9091,0.9411,0.9264,0.9110,0.9411,0.7947,0.8348,0.8946,0.8792,0.8712,0.9326
